Id;Référence;Empreinte;Quantité;Désignation;Fournisseur et réf
89;J1801;JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal;1;S2B-PH-SM4-TB;
90;J403;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB4105-GF-A;
91;U802;LMR36503;1;LMR36506MSC5RPERQ1;
92;U1801;TSOT-23-5;1;DGD0216WT-7;
93;Y401;ABM8W480000MHZ6D1XT3;1;ABM8W-48.0000MHZ-4-D1X-T3 ;
94;IC1201;MAX25262AFOFVY;1;MAX25262AFOF_VY+;
95;C1149,C1150;C_0402_1005_DensityHigh;2;4n7 X7R 100V;
96;R1504;R_1206_3216_DensityHigh_Large;1;7,5k 1% 1/4W;
97;L802;IND_XGL3530_COC;1;2u2;
98;U401;LQFP-64_10x10mm_P0.5mm;1;STM32G483RET6;
99;IC1701;SOP65P490X110-9N;1;TPA6205A1DGN;
100;C807;C_0805_2012_DensityHigh;1;22u X7R 10V;
101;R1602,R1604,R1603,R1601;R_0805_2012_DensityHigh;4;10R 1% 1/8W;
